F. Emision,Descripción,category,subcategory,volume,weight,fragance,other,Stock Actual,P. Unitario
01/11/2023,FRAGANCIA 20 ML MANZANA,AROMATIZADORES,FRAGANCIAS,20 ML,,MANZANA,,2,49.9
01/11/2023,FRAGANCIA 30 ML MANZANA,AROMATIZADORES,FRAGANCIAS,30 ML,,MANZANA,,2,65
01/11/2023,FRAGANCIA 10 ML MENTA,AROMATIZADORES,FRAGANCIAS,10 ML,,MENTA,,0,39.9
01/11/2023,FRAGANCIA 20 ML MENTA,AROMATIZADORES,FRAGANCIAS,20 ML,,MENTA,,2,49.9
01/11/2023,FRAGANCIA 30 ML MENTA,AROMATIZADORES,FRAGANCIAS,30 ML,,MENTA,,2,65
01/11/2023,FRAGANCIA 10 ML MUÑA,AROMATIZADORES,FRAGANCIAS,10 ML,,MUÑA,,0,39.9
01/11/2023,FRAGANCIA 20 ML MUÑA,AROMATIZADORES,FRAGANCIAS,20 ML,,MUÑA,,3,49.9
11/04/2024,FRAGANCIA 30 ML MUÑA,AROMATIZADORES,FRAGANCIAS,30 ML,,MUÑA,,1,65
01/11/2023,FRAGANCIA 10 ML ORQUIDEA BLANCA,AROMATIZADORES,FRAGANCIAS,10 ML,,ORQUIDEA BLANCA,,0,39.9
01/11/2023,FRAGANCIA 20 ML ORQUIDEA BLANCA,AROMATIZADORES,FRAGANCIAS,20 ML,,ORQUIDEA BLANCA,,5,49.9
01/11/2023,FRAGANCIA 30 ML ORQUIDEA BLANCA,AROMATIZADORES,FRAGANCIAS,30 ML,,ORQUIDEA BLANCA,,4,65
01/11/2023,FRAGANCIA 10 ML REFRESCANTE,AROMATIZADORES,FRAGANCIAS,10 ML,,REFRESCANTE,,0,39.9
01/11/2023,FRAGANCIA 20 ML REFRESCANTE,AROMATIZADORES,FRAGANCIAS,20 ML,,REFRESCANTE,,2,49.9
01/11/2023,FRAGANCIA 30 ML REFRESCANTE,AROMATIZADORES,FRAGANCIAS,30 ML,,REFRESCANTE,,4,65
01/11/2023,FRAGANCIA 10 ML RELAJANTE,AROMATIZADORES,FRAGANCIAS,10 ML,,RELAJANTE,,0,39.9
01/11/2023,FRAGANCIA 20 ML RELAJANTE,AROMATIZADORES,FRAGANCIAS,20 ML,,RELAJANTE,,1,49.9
15/11/2023,FRAGANCIA 30 ML RELAJANTE,AROMATIZADORES,FRAGANCIAS,30 ML,,RELAJANTE,,3,65
01/11/2023,FRAGANCIA 10 ML ROSAS,AROMATIZADORES,FRAGANCIAS,10 ML,,ROSAS,,0,39.9
01/11/2023,FRAGANCIA 20 ML ROSAS,AROMATIZADORES,FRAGANCIAS,20 ML,,ROSAS,,2,49.9
01/11/2023,FRAGANCIA 30 ML ROSAS,AROMATIZADORES,FRAGANCIAS,30 ML,,ROSAS,,0,65
01/11/2023,FRAGANCIA 10 ML SANDALO,AROMATIZADORES,FRAGANCIAS,10 ML,,SANDALO,,0,39.9
01/11/2023,FRAGANCIA 20 ML SANDALO,AROMATIZADORES,FRAGANCIAS,20 ML,,SANDALO,,6,49.9
