F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/10/2023,420,602070010040031,,J0028,FRAGANCIA 10 ML HIERBA LUISA,10 ML,HIERBA LUISA,,23/03/2024,UNI,3,08/01/2024,3,23/03/2024,4,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,450,602070010050031,,J0028,FRAGANCIA 20 ML HIERBA LUISA,20 ML,HIERBA LUISA,,08/07/2024,UNI,2,08/07/2024,5,29/06/2024,5,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,480,602070010070031,,J0028,FRAGANCIA 30 ML HIERBA LUISA,30 ML,HIERBA LUISA,,09/11/2024,UNI,5,04/09/2024,3,09/11/2024,6,2,,65,130,01/10/2023,JARDIN DEL ZEN
04/11/2024,1103,602070010040090,,J0028,FRAGANCIA 10 ML HIERBA LUISA  SILVESTRE,10 ML,HIERBA LUISA  SILVESTRE,,04/11/2024,UNI,0,04/11/2024,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
04/11/2024,1104,602070010050090,,J0028,FRAGANCIA 20 ML HIERBA LUISA  SILVESTRE,20 ML,HIERBA LUISA  SILVESTRE,,04/11/2024,UNI,0,04/11/2024,1,,0,1,,49.9,49.9,,JARDIN DEL ZEN
04/11/2024,1105,602070010070090,,J0028,FRAGANCIA 30 ML HIERBA LUISA  SILVESTRE,30 ML,HIERBA LUISA  SILVESTRE,,04/11/2024,UNI,0,04/11/2024,1,,0,1,,65,65,,JARDIN DEL ZEN
06/11/2023,421,602070010040033,,J0028,FRAGANCIA 10 ML JAZMIN,10 ML,JAZMIN,,02/08/2024,UNI,0,08/01/2024,4,02/08/2024,2,2,,39.9,79.8,,JARDIN DEL ZEN
01/10/2023,451,602070010050033,,J0028,FRAGANCIA 20 ML JAZMIN,20 ML,JAZMIN,,08/01/2024,UNI,3,08/01/2024,1,17/12/2023,2,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
06/11/2023,481,602070010070033,,J0028,FRAGANCIA 30 ML JAZMIN,30 ML,JAZMIN,,20/08/2024,UNI,0,20/08/2024,4,,0,4,,65,260,,JARDIN DEL ZEN
01/10/2023,422,602070010040035,,J0028,FRAGANCIA 10 ML LAVANDA,10 ML,LAVANDA,,15/11/2024,UNI,2,15/11/2024,9,27/10/2024,9,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,452,602070010050035,,J0028,FRAGANCIA 20 ML LAVANDA,20 ML,LAVANDA,,25/09/2024,UNI,2,04/09/2024,6,25/09/2024,6,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,482,602070010070035,,J0028,FRAGANCIA 30 ML LAVANDA,30 ML,LAVANDA,,08/11/2024,UNI,3,04/11/2024,8,08/11/2024,8,3,,65,195,01/10/2023,JARDIN DEL ZEN
01/10/2023,423,602070010040038,,J0028,FRAGANCIA 10 ML LIMON,10 ML,LIMON,,,UNI,3,,0,,0,3,,39.9,119.7,01/10/2023,JARDIN DEL ZEN
01/10/2023,453,602070010050038,,J0028,FRAGANCIA 20 ML LIMON,20 ML,LIMON,,03/10/2024,UNI,1,31/05/2024,3,03/10/2024,3,1,,49.9,49.9,01/10/2023,JARDIN DEL ZEN
01/10/2023,483,602070010070038,,J0028,FRAGANCIA 30 ML LIMON,30 ML,LIMON,,08/07/2024,UNI,4,08/07/2024,2,06/07/2024,3,3,,65,195,01/10/2023,JARDIN DEL ZEN
01/10/2023,424,602070010040041,,J0028,FRAGANCIA 10 ML MANDARINA,10 ML,MANDARINA,,15/11/2024,UNI,3,15/11/2024,1,18/10/2024,3,1,,39.9,39.9,01/10/2023,JARDIN DEL ZEN
01/10/2023,454,602070010050041,,J0028,FRAGANCIA 20 ML MANDARINA,20 ML,MANDARINA,,31/05/2024,UNI,2,31/05/2024,3,31/05/2024,3,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,484,602070010070041,,J0028,FRAGANCIA 30 ML MANDARINA,30 ML,MANDARINA,,08/11/2024,UNI,2,08/11/2024,3,18/10/2024,5,0,,65,0,01/10/2023,JARDIN DEL ZEN
01/10/2023,425,602070010040042,,J0028,FRAGANCIA 10 ML MANZANA,10 ML,MANZANA,,15/11/2024,UNI,2,15/11/2024,2,05/09/2024,2,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,455,602070010050042,,J0028,FRAGANCIA 20 ML MANZANA,20 ML,MANZANA,,23/02/2024,UNI,2,23/02/2024,2,23/01/2024,2,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,485,602070010070042,,J0028,FRAGANCIA 30 ML MANZANA,30 ML,MANZANA,,04/09/2024,UNI,1,04/09/2024,4,11/10/2023,1,4,,65,260,01/10/2023,JARDIN DEL ZEN
01/10/2023,427,602070010040050,,J0028,FRAGANCIA 10 ML MENTA,10 ML,MENTA,,08/01/2024,UNI,1,08/01/2024,2,15/11/2023,1,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,457,602070010050050,,J0028,FRAGANCIA 20 ML MENTA,20 ML,MENTA,,15/11/2024,UNI,2,15/11/2024,4,17/09/2024,4,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,487,602070010070050,,J0028,FRAGANCIA 30 ML MENTA,30 ML,MENTA,,,UNI,2,,0,,0,2,,65,130,01/10/2023,JARDIN DEL ZEN
01/10/2023,428,602070010040053,,J0028,FRAGANCIA 10 ML MUÑA,10 ML,MUÑA,,04/09/2024,UNI,2,04/09/2024,1,01/07/2024,1,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,458,602070010050053,,J0028,FRAGANCIA 20 ML MUÑA,20 ML,MUÑA,,,UNI,2,,0,,0,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,488,602070010070053,,J0028,FRAGANCIA 30 ML MUÑA,30 ML,MUÑA,,04/09/2024,UNI,2,04/09/2024,4,27/05/2024,4,2,,65,130,01/10/2023,JARDIN DEL ZEN
01/10/2023,429,602070010040056,,J0028,FRAGANCIA 10 ML ORQUIDEA BLANCA,10 ML,ORQUIDEA BLANCA,,16/11/2024,UNI,2,15/11/2024,19,16/11/2024,21,0,,39.9,0,01/10/2023,JARDIN DEL ZEN
01/10/2023,459,602070010050056,,J0028,FRAGANCIA 20 ML ORQUIDEA BLANCA,20 ML,ORQUIDEA BLANCA,,18/11/2024,UNI,3,15/11/2024,12,18/11/2024,13,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
