F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/11/2023,430,602070010040059,,J0028,FRAGANCIA 10 ML REFRESCANTE,10 ML,REFRESCANTE,,22/04/2024,UNI,2,,0,22/04/2024,1,1,,39.9,39.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,460,602070010050059,,J0028,FRAGANCIA 20 ML REFRESCANTE,20 ML,REFRESCANTE,,02/11/2024,UNI,1,24/11/2023,1,02/11/2024,1,1,,49.9,49.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,490,602070010070059,,J0028,FRAGANCIA 30 ML REFRESCANTE,30 ML,REFRESCANTE,,24/11/2023,UNI,2,09/11/2023,1,24/11/2023,1,2,,65,130,01/11/2023,JARDIN DEL ZEN
01/11/2023,431,602070010040060,,J0028,FRAGANCIA 10 ML RELAJANTE,10 ML,RELAJANTE,,08/05/2024,UNI,1,08/05/2024,3,02/05/2024,2,2,,39.9,79.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,461,602070010050060,,J0028,FRAGANCIA 20 ML RELAJANTE,20 ML,RELAJANTE,,24/11/2023,UNI,1,24/11/2023,1,,0,2,,49.9,99.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,491,602070010070060,,J0028,FRAGANCIA 30 ML RELAJANTE,30 ML,RELAJANTE,,24/11/2023,UNI,1,24/11/2023,2,,0,3,,65,195,01/11/2023,JARDIN DEL ZEN
01/11/2023,432,602070010040062,,J0028,FRAGANCIA 10 ML ROSAS,10 ML,ROSAS,,08/11/2024,UNI,1,08/11/2024,2,31/10/2024,2,1,,39.9,39.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,462,602070010050062,,J0028,FRAGANCIA 20 ML ROSAS,20 ML,ROSAS,,17/10/2024,UNI,1,17/10/2024,1,06/10/2024,1,1,,49.9,49.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,492,602070010070062,,J0028,FRAGANCIA 30 ML ROSAS,30 ML,ROSAS,,17/10/2024,UNI,1,17/10/2024,2,05/07/2024,2,1,,65,65,01/11/2023,JARDIN DEL ZEN
01/11/2023,433,602070010040064,,J0028,FRAGANCIA 10 ML SANDALO,10 ML,SANDALO,,14/08/2024,UNI,2,14/08/2024,5,09/08/2024,4,3,,39.9,119.7,01/11/2023,JARDIN DEL ZEN
01/11/2023,463,602070010050064,,J0028,FRAGANCIA 20 ML SANDALO,20 ML,SANDALO,,06/10/2024,UNI,1,20/06/2024,6,06/10/2024,5,2,,49.9,99.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,493,602070010070064,,J0028,FRAGANCIA 30 ML SANDALO,30 ML,SANDALO,,26/08/2024,UNI,2,14/08/2024,6,26/08/2024,5,3,,65,195,01/11/2023,JARDIN DEL ZEN
01/11/2023,494,602070010070065,,J0028,FRAGANCIA 30 ML SERENIDAD,30 ML,SERENIDAD,,01/11/2024,UNI,1,17/10/2024,13,01/11/2024,12,2,,65,130,01/11/2023,JARDIN DEL ZEN
24/10/2024,1100,602070010040084,,J0028,FRAGANCIA 10 ML TE BLANCO,10 ML,TE BLANCO,,24/10/2024,UNI,0,24/10/2024,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
24/10/2024,1101,602070010050084,,J0028,FRAGANCIA 20 ML TE BLANCO,20 ML,TE BLANCO,,24/10/2024,UNI,0,24/10/2024,1,,0,1,,49.9,49.9,,JARDIN DEL ZEN
24/10/2024,1102,602070010070084,,J0028,FRAGANCIA 30 ML TE BLANCO,30 ML,TE BLANCO,,24/10/2024,UNI,0,24/10/2024,1,,0,1,,65,65,,JARDIN DEL ZEN
01/11/2023,872,602070010040083,,J0028,FRAGANCIA 10 ML TÉ VERBENA,10 ML,TÉ VERBENA,,24/10/2024,UNI,1,24/10/2024,2,16/10/2024,2,1,,39.9,39.9,01/11/2023,JARDIN DEL ZEN
21/02/2024,879,602070010050083,,J0028,FRAGANCIA 20 ML TÉ VERBENA,20 ML,TÉ VERBENA,,17/10/2024,UNI,0,17/10/2024,3,21/08/2024,2,1,,49.9,49.9,,JARDIN DEL ZEN
01/11/2023,880,602070010070083,,J0028,FRAGANCIA 30 ML TÉ VERBENA,30 ML,TÉ VERBENA,,02/11/2024,UNI,1,08/05/2024,4,02/11/2024,4,1,,65,65,01/11/2023,JARDIN DEL ZEN
