F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/12/2023,442,602070010050008,,J0028,FRAGANCIA 20 ML BAMBOO,20 ML,BAMBOO,,12/11/2024,UNI,2,16/09/2024,6,12/11/2024,8,0,,49.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,472,602070010070008,,J0028,FRAGANCIA 30 ML BAMBOO,30 ML,BAMBOO,,24/10/2024,UNI,1,11/06/2024,4,24/10/2024,5,0,,65,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,413,602070010040013,,J0028,FRAGANCIA 10 ML CANELA,10 ML,CANELA,,05/11/2024,UNI,2,01/06/2024,2,05/11/2024,3,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,443,602070010050013,,J0028,FRAGANCIA 20 ML CANELA,20 ML,CANELA,,02/06/2024,UNI,2,04/03/2024,2,02/06/2024,3,1,,49.9,49.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,473,602070010070013,,J0028,FRAGANCIA 30 ML CANELA,30 ML,CANELA,,16/09/2024,UNI,1,16/09/2024,1,25/08/2024,1,1,,65,65,01/12/2023,JARDIN DEL ZEN
16/10/2024,1097,602070010040089,,J0028,FRAGANCIA 10 ML CAPPUCCINO,10 ML,CAPPUCCINO,,16/10/2024,UNI,0,18/10/2024,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
16/10/2024,1098,602070010050089,,J0028,FRAGANCIA 20 ML CAPPUCCINO,20 ML,CAPPUCCINO,,16/10/2024,UNI,0,18/10/2024,2,,0,2,,49.9,99.8,,JARDIN DEL ZEN
18/10/2024,1099,602070010070089,,J0028,FRAGANCIA 30 ML CAPPUCCINO,30 ML,CAPPUCCINO,,28/10/2024,UNI,0,28/10/2024,2,,0,2,,65,130,,JARDIN DEL ZEN
01/12/2023,414,602070010040015,,J0028,FRAGANCIA 10 ML CHIRIMOYA,10 ML,CHIRIMOYA,,,UNI,2,,0,,0,2,,39.9,79.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,444,602070010050015,,J0028,FRAGANCIA 20 ML CHIRIMOYA,20 ML,CHIRIMOYA,,14/09/2024,UNI,2,,0,14/09/2024,1,1,,49.9,49.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,474,602070010070015,,J0028,FRAGANCIA 30 ML CHIRIMOYA,30 ML,CHIRIMOYA,,,UNI,2,,0,,0,2,,65,130,01/12/2023,JARDIN DEL ZEN
01/12/2023,415,602070010040020,,J0028,FRAGANCIA 10 ML COCO,10 ML,COCO,,27/08/2024,UNI,2,,0,27/08/2024,1,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,445,602070010050020,,J0028,FRAGANCIA 20 ML COCO,20 ML,COCO,,,UNI,2,,0,,0,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,475,602070010070020,,J0028,FRAGANCIA 30 ML COCO,30 ML,COCO,,09/09/2024,UNI,1,11/06/2024,2,09/09/2024,2,1,,65,65,01/12/2023,JARDIN DEL ZEN
02/04/2024,875,602070010050024,,J0028,FRAGANCIA 20 ML ENERGÍA,20 ML,ENERGÍA,,02/04/2024,UNI,0,,0,02/04/2024,0,0,,49.9,0,,JARDIN DEL ZEN
01/06/2024,476,602070010070024,,J0028,FRAGANCIA 30 ML ENERGÍA,30 ML,ENERGÍA,,13/11/2024,UNI,0,16/09/2024,5,13/11/2024,5,0,,65,0,,JARDIN DEL ZEN
04/03/2024,417,602070010040025,,J0028,FRAGANCIA 10 ML ENERGIZANTE,10 ML,ENERGIZANTE,,04/03/2024,UNI,0,04/03/2024,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
01/12/2023,447,602070010050025,,J0028,FRAGANCIA 20 ML ENERGIZANTE,20 ML,ENERGIZANTE,,21/10/2024,UNI,1,,0,21/10/2024,1,0,,49.9,0,01/12/2023,JARDIN DEL ZEN
04/03/2024,477,602070010070025,,J0028,FRAGANCIA 30 ML ENERGIZANTE,30 ML,ENERGIZANTE,,27/08/2024,UNI,0,23/04/2024,2,27/08/2024,1,1,,65,65,,JARDIN DEL ZEN
01/12/2023,418,602070010040026,,J0028,FRAGANCIA 10 ML EUCALIPTO,10 ML,EUCALIPTO,,24/09/2024,UNI,2,01/06/2024,3,24/09/2024,4,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,448,602070010050026,,J0028,FRAGANCIA 20 ML EUCALIPTO,20 ML,EUCALIPTO,,24/08/2024,UNI,2,01/06/2024,4,24/08/2024,6,0,,49.9,0,01/12/2023,JARDIN DEL ZEN
20/12/2023,478,602070010070026,,J0028,FRAGANCIA 30 ML EUCALIPTO,30 ML,EUCALIPTO,,05/11/2024,UNI,0,01/06/2024,4,05/11/2024,4,0,,65,0,,JARDIN DEL ZEN
01/12/2023,479,602070010070028,,J0028,FRAGANCIA 30 ML FELICIDAD,30 ML,FELICIDAD,,03/11/2024,UNI,3,28/10/2024,9,03/11/2024,12,0,,65,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,420,602070010040031,,J0028,FRAGANCIA 10 ML HIERBA LUISA,10 ML,HIERBA LUISA,,27/08/2024,UNI,1,,0,27/08/2024,1,0,,39.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,450,602070010050031,,J0028,FRAGANCIA 20 ML HIERBA LUISA,20 ML,HIERBA LUISA,,20/09/2024,UNI,2,,0,20/09/2024,2,0,,49.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,480,602070010070031,,J0028,FRAGANCIA 30 ML HIERBA LUISA,30 ML,HIERBA LUISA,,10/10/2024,UNI,2,04/03/2024,2,10/10/2024,4,0,,65,0,01/12/2023,JARDIN DEL ZEN
08/11/2024,1103,602070010040090,,J0028,FRAGANCIA 10 ML HIERBA LUISA  SILVESTRE,10 ML,HIERBA LUISA  SILVESTRE,,08/11/2024,UNI,0,08/11/2024,1,,0,1,,39.9,39.9,,JARDIN DEL ZEN
08/11/2024,1104,602070010050090,,J0028,FRAGANCIA 20 ML HIERBA LUISA  SILVESTRE,20 ML,HIERBA LUISA  SILVESTRE,,08/11/2024,UNI,0,08/11/2024,1,,0,1,,49.9,49.9,,JARDIN DEL ZEN
08/11/2024,1105,602070010070090,,J0028,FRAGANCIA 30 ML HIERBA LUISA  SILVESTRE,30 ML,HIERBA LUISA  SILVESTRE,,14/11/2024,UNI,0,08/11/2024,1,14/11/2024,1,0,,65,0,,JARDIN DEL ZEN
01/12/2023,421,602070010040033,,J0028,FRAGANCIA 10 ML JAZMIN,10 ML,JAZMIN,,06/10/2024,UNI,2,01/06/2024,1,06/10/2024,3,0,,39.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,451,602070010050033,,J0028,FRAGANCIA 20 ML JAZMIN,20 ML,JAZMIN,,05/09/2024,UNI,2,11/06/2024,2,05/09/2024,4,0,,49.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,481,602070010070033,,J0028,FRAGANCIA 30 ML JAZMIN,30 ML,JAZMIN,,29/08/2024,UNI,2,13/08/2024,3,29/08/2024,5,0,,65,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,422,602070010040035,,J0028,FRAGANCIA 10 ML LAVANDA,10 ML,LAVANDA,,28/08/2024,UNI,3,01/06/2024,1,28/08/2024,3,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,452,602070010050035,,J0028,FRAGANCIA 20 ML LAVANDA,20 ML,LAVANDA,,14/10/2024,UNI,3,10/10/2024,5,14/10/2024,7,1,,49.9,49.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,482,602070010070035,,J0028,FRAGANCIA 30 ML LAVANDA,30 ML,LAVANDA,,14/10/2024,UNI,3,14/10/2024,3,16/09/2024,5,1,,65,65,01/12/2023,JARDIN DEL ZEN
01/12/2023,423,602070010040038,,J0028,FRAGANCIA 10 ML LIMON,10 ML,LIMON,,13/08/2024,UNI,1,04/03/2024,1,13/08/2024,2,0,,39.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,453,602070010050038,,J0028,FRAGANCIA 20 ML LIMON,20 ML,LIMON,,20/08/2024,UNI,2,,0,20/08/2024,2,0,,49.9,0,01/12/2023,JARDIN DEL ZEN
20/12/2023,483,602070010070038,,J0028,FRAGANCIA 30 ML LIMON,30 ML,LIMON,,20/08/2024,UNI,0,20/12/2023,1,20/08/2024,0,1,,65,65,,JARDIN DEL ZEN
01/12/2023,424,602070010040041,,J0028,FRAGANCIA 10 ML MANDARINA,10 ML,MANDARINA,,21/10/2024,UNI,2,,0,21/10/2024,2,0,,39.9,0,01/12/2023,JARDIN DEL ZEN
04/03/2024,454,602070010050041,,J0028,FRAGANCIA 20 ML MANDARINA,20 ML,MANDARINA,,21/10/2024,UNI,0,04/03/2024,1,21/10/2024,1,0,,49.9,0,,JARDIN DEL ZEN
01/12/2023,484,602070010070041,,J0028,FRAGANCIA 30 ML MANDARINA,30 ML,MANDARINA,,27/08/2024,UNI,1,,0,27/08/2024,1,0,,65,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,425,602070010040042,,J0028,FRAGANCIA 10 ML MANZANA,10 ML,MANZANA,,,UNI,2,,0,,0,2,,39.9,79.8,01/12/2023,JARDIN DEL ZEN
04/03/2024,455,602070010050042,,J0028,FRAGANCIA 20 ML MANZANA,20 ML,MANZANA,,04/03/2024,UNI,0,04/03/2024,1,,0,1,,49.9,49.9,,JARDIN DEL ZEN
01/12/2023,485,602070010070042,,J0028,FRAGANCIA 30 ML MANZANA,30 ML,MANZANA,,25/08/2024,UNI,2,,0,25/08/2024,1,1,,65,65,01/12/2023,JARDIN DEL ZEN
01/12/2023,427,602070010040050,,J0028,FRAGANCIA 10 ML MENTA,10 ML,MENTA,,25/02/2024,UNI,2,,0,25/02/2024,1,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,457,602070010050050,,J0028,FRAGANCIA 20 ML MENTA,20 ML,MENTA,,19/10/2024,UNI,3,,0,19/10/2024,1,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,487,602070010070050,,J0028,FRAGANCIA 30 ML MENTA,30 ML,MENTA,,27/08/2024,UNI,2,,0,27/08/2024,2,0,,65,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,428,602070010040053,,J0028,FRAGANCIA 10 ML MUÑA,10 ML,MUÑA,,,UNI,1,,0,,0,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,458,602070010050053,,J0028,FRAGANCIA 20 ML MUÑA,20 ML,MUÑA,,,UNI,2,,0,,0,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,488,602070010070053,,J0028,FRAGANCIA 30 ML MUÑA,30 ML,MUÑA,,,UNI,2,,0,,0,2,,65,130,01/12/2023,JARDIN DEL ZEN
01/12/2023,429,602070010040056,,J0028,FRAGANCIA 10 ML ORQUIDEA BLANCA,10 ML,ORQUIDEA BLANCA,,14/11/2024,UNI,3,14/10/2024,9,14/11/2024,12,0,,39.9,0,01/12/2023,JARDIN DEL ZEN
20/12/2023,459,602070010050056,,J0028,FRAGANCIA 20 ML ORQUIDEA BLANCA,20 ML,ORQUIDEA BLANCA,,20/10/2024,UNI,0,14/10/2024,15,20/10/2024,15,0,,49.9,0,,JARDIN DEL ZEN
01/12/2023,489,602070010070056,,J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,30 ML,ORQUIDEA BLANCA,,05/11/2024,UNI,3,28/10/2024,15,05/11/2024,18,0,,65,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,430,602070010040059,,J0028,FRAGANCIA 10 ML REFRESCANTE,10 ML,REFRESCANTE,,13/08/2024,UNI,2,13/08/2024,1,17/06/2024,2,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,460,602070010050059,,J0028,FRAGANCIA 20 ML REFRESCANTE,20 ML,REFRESCANTE,,,UNI,2,,0,,0,2,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
20/12/2023,490,602070010070059,,J0028,FRAGANCIA 30 ML REFRESCANTE,30 ML,REFRESCANTE,,20/12/2023,UNI,0,20/12/2023,1,,0,1,,65,65,,JARDIN DEL ZEN
01/12/2023,431,602070010040060,,J0028,FRAGANCIA 10 ML RELAJANTE,10 ML,RELAJANTE,,09/08/2024,UNI,1,11/06/2024,3,09/08/2024,4,0,,39.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,461,602070010050060,,J0028,FRAGANCIA 20 ML RELAJANTE,20 ML,RELAJANTE,,22/09/2024,UNI,2,11/06/2024,1,22/09/2024,3,0,,49.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,491,602070010070060,,J0028,FRAGANCIA 30 ML RELAJANTE,30 ML,RELAJANTE,,16/09/2024,UNI,1,16/09/2024,3,25/08/2024,2,2,,65,130,01/12/2023,JARDIN DEL ZEN
01/12/2023,432,602070010040062,,J0028,FRAGANCIA 10 ML ROSAS,10 ML,ROSAS,,28/08/2024,UNI,2,11/06/2024,1,28/08/2024,2,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,462,602070010050062,,J0028,FRAGANCIA 20 ML ROSAS,20 ML,ROSAS,,01/09/2024,UNI,1,01/06/2024,2,01/09/2024,3,0,,49.9,0,01/12/2023,JARDIN DEL ZEN
20/12/2023,492,602070010070062,,J0028,FRAGANCIA 30 ML ROSAS,30 ML,ROSAS,,27/08/2024,UNI,0,11/06/2024,3,27/08/2024,3,0,,65,0,,JARDIN DEL ZEN
01/12/2023,433,602070010040064,,J0028,FRAGANCIA 10 ML SANDALO,10 ML,SANDALO,,04/01/2024,UNI,2,,0,04/01/2024,1,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
